DaystoDepart,RoundTrip,SeatClass,Time,Price
38,0,1,1,0.215859031
38,0,1,2,0.215859031
38,1,1,0,0.625550661
38,1,1,1,0.625550661
38,1,1,2,0.625550661
38,0,2,0,0.215859031
38,0,2,1,0.215859031
38,0,2,2,0.215859031
38,1,2,0,0.625550661
38,1,2,1,0.625550661
38,1,2,2,0.625550661
39,0,0,0,0.002202643
39,0,0,1,0.002202643
39,0,0,2,0.002202643
39,1,0,0,0.176211454
39,1,0,1,0.176211454
39,1,0,2,0.176211454
39,0,1,0,0.215859031
39,0,1,1,0.248898678
39,0,1,2,0.215859031
39,1,1,0,0.625550661
39,1,1,1,0.658590308
39,1,1,2,0.625550661
39,0,2,0,0.215859031
39,0,2,1,0.248898678
39,0,2,2,0.215859031
39,1,2,0,0.625550661
39,1,2,1,0.658590308
39,1,2,2,0.625550661
40,0,0,0,0.002202643
40,0,0,1,0.002202643
40,0,0,2,0.002202643
40,1,0,0,0.026431718
40,1,0,1,0.026431718
40,1,0,2,0.026431718
40,0,1,0,0.215859031
40,0,1,1,0.215859031
40,0,1,2,0.215859031
40,1,1,0,0.464757709
40,1,1,1,0.464757709
40,1,1,2,0.464757709
40,0,2,0,0.215859031
40,0,2,1,0.215859031
40,0,2,2,0.215859031
40,1,2,0,0.464757709
40,1,2,1,0.464757709
40,1,2,2,0.464757709
41,0,0,0,0.002202643
41,0,0,1,0.002202643
41,0,0,2,0.002202643
41,1,0,0,0.035242291
41,1,0,1,0.035242291
41,1,0,2,0.035242291
41,0,1,0,0.215859031
41,0,1,1,0.215859031
41,0,1,2,0.215859031
41,1,1,0,0.473568282
41,1,1,1,0.473568282
41,1,1,2,0.473568282
41,0,2,0,0.215859031
41,0,2,1,0.215859031
41,0,2,2,0.215859031
41,1,2,0,0.473568282
41,1,2,1,0.473568282
41,1,2,2,0.473568282
42,0,0,0,0.002202643
42,0,0,1,0.002202643
42,0,0,2,0.002202643
42,1,0,0,0.044052863
42,1,0,1,0.044052863
42,1,0,2,0.044052863
42,0,1,0,0.237885463
42,0,1,1,0.237885463
42,0,1,2,0.237885463
42,1,1,0,0.504405286
42,1,1,1,0.504405286
42,1,1,2,0.504405286
42,0,2,0,0.237885463
42,0,2,1,0.237885463
42,0,2,2,0.237885463
42,1,2,0,0.504405286
42,1,2,1,0.504405286
42,1,2,2,0.504405286
43,0,0,0,0.002202643
43,0,0,1,0.002202643
43,0,0,2,0.002202643
43,1,0,0,0.035242291
43,1,0,1,0.035242291
43,1,0,2,0.035242291
43,0,1,0,0.237885463
43,0,1,1,0.237885463
43,0,1,2,0.237885463
43,1,1,0,0.473568282
43,1,1,1,0.473568282
43,1,1,2,0.473568282
43,0,2,0,0.237885463
43,0,2,1,0.237885463
43,0,2,2,0.237885463
43,1,2,0,0.473568282
43,1,2,1,0.473568282
43,1,2,2,0.473568282
44,0,0,0,0.002202643
44,0,0,1,0.002202643
44,0,0,2,0.002202643
44,1,0,0,0.057268722
44,1,0,1,0.026431718
44,1,0,2,0.026431718
44,0,1,0,0.359030837
44,0,1,1,0.237885463
44,0,1,2,0.237885463
44,1,1,0,0.636563877
44,1,1,1,0.464757709
44,1,1,2,0.464757709
44,0,2,0,0.359030837
44,0,2,1,0.237885463
44,0,2,2,0.237885463
44,1,2,0,0.636563877
44,1,2,1,0.464757709
44,1,2,2,0.464757709
45,0,0,0,0.002202643
45,0,0,1,0.002202643
45,0,0,2,0.002202643
45,1,0,0,0.172907489
45,1,0,1,0.172907489
45,1,0,2,0.172907489
45,0,1,0,0.237885463
45,0,1,1,0.237885463
45,0,1,2,0.237885463
45,1,1,0,0.625550661
45,1,1,1,0.625550661
45,1,1,2,0.625550661
45,0,2,0,0.237885463
45,0,2,1,0.237885463
45,0,2,2,0.237885463
45,1,2,0,0.625550661
45,1,2,1,0.625550661
45,1,2,2,0.625550661
46,0,0,0,0.002202643
46,0,0,1,0.002202643
46,0,0,2,0.002202643
46,1,0,0,0.172907489
46,1,0,1,0.172907489
46,1,0,2,0.172907489
46,0,1,0,0.237885463
46,0,1,1,0.237885463
46,0,1,2,0.237885463
46,1,1,0,0.625550661
46,1,1,1,0.625550661
46,1,1,2,0.625550661
46,0,2,0,0.237885463
46,0,2,1,0.237885463
46,0,2,2,0.237885463
46,1,2,0,0.625550661
46,1,2,1,0.625550661
46,1,2,2,0.625550661
47,0,0,0,0.002202643
47,0,0,1,0.002202643
47,0,0,2,0.002202643
47,1,0,0,0.026431718
47,1,0,1,0.026431718
47,1,0,2,0.026431718
47,0,1,0,0.215859031
47,0,1,1,0.215859031
47,0,1,2,0.215859031
47,1,1,0,0.442731278
47,1,1,1,0.442731278
47,1,1,2,0.442731278
47,0,2,0,0.215859031
47,0,2,1,0.215859031
